epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6627,1.71742,1.76235,1.53206,0.66714,0.60585,0.64927,0.3504,1.54861,1.56055,1.37906,0.00065625,0.00065625,0.00065625
2,50.8479,1.49458,1.19031,1.35722,0.67943,0.71458,0.74671,0.37823,1.55444,1.2101,1.49469,0.00129672,0.00129672,0.00129672
3,75.4682,1.44522,1.13141,1.35983,0.76827,0.69464,0.76891,0.40147,1.58327,1.18325,1.52737,0.0019108,0.0019108,0.0019108
4,99.6201,1.423,1.11488,1.34644,0.78104,0.75969,0.82252,0.47765,1.36086,1.07324,1.3849,0.0018812,0.0018812,0.0018812
5,122.95,1.36299,1.04357,1.32027,0.77075,0.75804,0.81247,0.46874,1.35174,1.01183,1.35565,0.0018416,0.0018416,0.0018416
6,147.297,1.35037,1.01476,1.31497,0.80839,0.81444,0.85752,0.50863,1.33886,0.95917,1.34711,0.001802,0.001802,0.001802
7,170.967,1.27544,0.96088,1.27781,0.8367,0.81861,0.89148,0.53895,1.31397,0.95897,1.34911,0.0017624,0.0017624,0.0017624
8,194.21,1.25721,0.93216,1.2676,0.86951,0.8331,0.90062,0.59297,1.18322,0.85547,1.26521,0.0017228,0.0017228,0.0017228
9,218.378,1.18369,0.89138,1.22799,0.88145,0.86099,0.91151,0.62688,1.08437,0.82154,1.19448,0.0016832,0.0016832,0.0016832
10,241.824,1.16642,0.87292,1.21685,0.87569,0.88373,0.92184,0.60272,1.15334,0.87322,1.25223,0.0016436,0.0016436,0.0016436
11,265.486,1.15321,0.86045,1.20228,0.91359,0.85808,0.93177,0.66793,1.02397,0.79004,1.17912,0.001604,0.001604,0.001604
12,289.955,1.12455,0.81608,1.18595,0.91195,0.87138,0.9433,0.67666,1.02328,0.74536,1.16241,0.0015644,0.0015644,0.0015644
13,313.017,1.1267,0.81911,1.19598,0.90227,0.88037,0.94392,0.67825,1.0098,0.75709,1.18159,0.0015248,0.0015248,0.0015248
14,337.057,1.10132,0.80007,1.17506,0.90593,0.88112,0.93621,0.67816,1.00232,0.71244,1.15156,0.0014852,0.0014852,0.0014852
15,361.361,1.06337,0.77765,1.16831,0.89453,0.87624,0.941,0.6671,1.02392,0.71759,1.17822,0.0014456,0.0014456,0.0014456
16,385.118,1.08099,0.77776,1.1612,0.91472,0.90913,0.95319,0.70317,0.95564,0.68943,1.11544,0.001406,0.001406,0.001406
17,409.09,1.03018,0.74763,1.13733,0.91424,0.90358,0.95076,0.72212,0.90289,0.66467,1.10005,0.0013664,0.0013664,0.0013664
18,433.398,1.02882,0.74111,1.13452,0.91114,0.911,0.94822,0.72272,0.87783,0.67028,1.08273,0.0013268,0.0013268,0.0013268
19,455.963,1.00782,0.72768,1.12185,0.92878,0.90647,0.95629,0.72863,0.92295,0.63962,1.08531,0.0012872,0.0012872,0.0012872
20,480.315,0.99978,0.72145,1.12465,0.91709,0.89312,0.95194,0.71174,0.93214,0.66235,1.11212,0.0012476,0.0012476,0.0012476
21,503.462,0.97279,0.70253,1.10623,0.92152,0.8951,0.95346,0.74109,0.85366,0.65001,1.06051,0.001208,0.001208,0.001208
22,525.821,0.95548,0.68915,1.10701,0.92772,0.9021,0.94989,0.71695,0.92401,0.64159,1.08231,0.0011684,0.0011684,0.0011684
23,550.059,0.9607,0.6904,1.09934,0.91865,0.90933,0.95454,0.74172,0.84533,0.64329,1.0583,0.0011288,0.0011288,0.0011288
24,572.508,0.96308,0.68356,1.10274,0.92581,0.90994,0.95392,0.7423,0.8258,0.61141,1.0414,0.0010892,0.0010892,0.0010892
25,596.12,0.96023,0.68054,1.10032,0.91809,0.91925,0.95878,0.73585,0.85512,0.61194,1.06021,0.0010496,0.0010496,0.0010496
26,619.939,0.94105,0.66944,1.0907,0.93908,0.90809,0.95704,0.74581,0.84415,0.60483,1.03995,0.00101,0.00101,0.00101
27,642.728,0.91029,0.64835,1.08413,0.93221,0.92371,0.96272,0.75634,0.79955,0.58618,1.02785,0.0009704,0.0009704,0.0009704
28,667.141,0.90474,0.64314,1.0799,0.93335,0.92289,0.95686,0.75553,0.80015,0.5742,1.03093,0.0009308,0.0009308,0.0009308
29,691.249,0.92222,0.64993,1.08217,0.94314,0.92445,0.96321,0.77538,0.76944,0.56421,1.00867,0.0008912,0.0008912,0.0008912
30,714.043,0.89325,0.63891,1.0731,0.94197,0.92532,0.96266,0.77812,0.76501,0.55679,1.00438,0.0008516,0.0008516,0.0008516
31,738.169,0.86977,0.62211,1.06119,0.93003,0.91969,0.95711,0.7695,0.76113,0.561,1.00592,0.000812,0.000812,0.000812
32,761.947,0.85889,0.61804,1.05995,0.92837,0.92329,0.96258,0.77276,0.78137,0.5537,1.00498,0.0007724,0.0007724,0.0007724
33,784.865,0.8577,0.61145,1.05874,0.94225,0.92664,0.96495,0.79385,0.72902,0.53639,0.98963,0.0007328,0.0007328,0.0007328
34,809.136,0.85252,0.60535,1.05237,0.93676,0.92732,0.96272,0.78265,0.74171,0.54186,0.98613,0.0006932,0.0006932,0.0006932
35,831.331,0.8464,0.60307,1.05003,0.93835,0.92575,0.96109,0.77983,0.76114,0.54002,0.99661,0.0006536,0.0006536,0.0006536
36,854.579,0.83801,0.58887,1.0439,0.92821,0.92612,0.96273,0.79603,0.70349,0.53648,0.97894,0.000614,0.000614,0.000614
37,877.871,0.81892,0.58383,1.04011,0.93402,0.93325,0.96793,0.80097,0.70367,0.527,0.97614,0.0005744,0.0005744,0.0005744
38,900.022,0.80759,0.57655,1.02935,0.93682,0.93013,0.96273,0.8044,0.6903,0.51214,0.95966,0.0005348,0.0005348,0.0005348
39,923.429,0.80655,0.5762,1.02671,0.93541,0.92982,0.96345,0.80313,0.69051,0.50903,0.96359,0.0004952,0.0004952,0.0004952
40,945.354,0.80561,0.57222,1.03181,0.942,0.92588,0.9635,0.80918,0.6771,0.50002,0.95379,0.0004556,0.0004556,0.0004556
41,970.02,0.73235,0.53467,0.98551,0.93849,0.92986,0.9672,0.81113,0.67243,0.50834,0.95574,0.000416,0.000416,0.000416
42,992.679,0.70613,0.51144,0.97423,0.9484,0.93071,0.96841,0.81588,0.66955,0.49271,0.95105,0.0003764,0.0003764,0.0003764
43,1013.45,0.70471,0.50906,0.9732,0.94841,0.93727,0.97429,0.82527,0.65971,0.49181,0.95379,0.0003368,0.0003368,0.0003368
44,1035.92,0.67815,0.49446,0.96566,0.9548,0.93112,0.9709,0.82558,0.65065,0.47739,0.93927,0.0002972,0.0002972,0.0002972
45,1056.98,0.67482,0.48979,0.96455,0.9503,0.93812,0.969,0.83162,0.62965,0.47657,0.9397,0.0002576,0.0002576,0.0002576
